1, Appetizers, Bruschetta, 5.99
2, Appetizers, Chicken Wings, 8.99
3, Appetizers, Mozzarella Sticks, 6.99
4, Appetizers, Stuffed Mushrooms, 7.99
12, Main Courses, Grilled Salmon, 18.99
13, Main Courses, Spaghetti Carbonara, 14.99
14, Main Courses, Beef Burger, 11.99
15, Main Courses, Chicken Alfredo, 15.99
16, Main Courses, Vegetarian Lasagna, 13.99
26, Desserts, Apple Pie, 4.99
27, Desserts, Tiramisu, 6.49
34, Soups, Tomato Basil Soup, 4.99
35, Soups, Chicken Noodle Soup, 5.99
36, Soups, Clam Chowder, 6.99
37, Soups, Minestrone, 5.49
